3925,20151010,283,800,9,8.6,95,8.3
3925,20151011,284,800,8.3,7.9,94,7.4
3925,20151012,285,800,9.8,9.5,96,9.2
3925,20151013,286,800,11.7,11.1,92,10.4
3925,20151014,287,800,8.1,7.5,91,6.7
3925,20151015,288,800,10.5,9.4,86,8.3
3925,20151016,289,800,10.1,9.1,87,8
3925,20151017,290,800,12,11.7,96,11.4
3925,20151018,291,800,14.1,13.6,94,13.2
3925,20151019,292,800,8.1,7.3,88,6.2
3925,20151020,293,800,8.8,8.3,93,7.7
3925,20151021,294,800,10,9.5,93,8.9
3925,20151022,295,800,12.2,11.8,95,11.4
3925,20151023,296,800,8.2,7.4,89,6.5
3925,20151024,297,800,8.9,7.9,86,6.7
3925,20151025,298,800,9.2,7.9,82,6.3
3925,20151026,299,800,9.8,8.9,88,7.9
3925,20151027,300,800,10.5,9.9,92,9.3
3925,20151028,301,800,10.5,10.3,97,10
3925,20151029,302,800,11.2,10.9,96,10.6
3925,20151030,303,800,8,6.6,80,4.8
3925,20151031,304,800,9.1,8,85,6.7
3925,20151101,305,800,10.2,8.6,79,6.7
3925,20151102,306,800,12.4,10.5,77,8.5
3925,20151103,307,800,11,9.2,77,7.1
3925,20151104,308,800,8.6,8,92,7.4
3925,20151105,309,800,6.1,4.7,78,2.6
3925,20151106,310,800,10,8.5,80,6.7
3925,20151107,311,800,11,9.5,81,7.9
3925,20151108,312,800,10.7,9.4,84,8.1
3925,20151109,313,800,14.3,13.2,88,12.3
3925,20151110,314,800,14.6,14.2,95,13.8
3925,20151111,315,800,12.2,10.9,84,9.6
3925,20151112,316,800,10.1,8.1,74,5.7
3925,20151113,317,800,8.1,6,71,3.2
3925,20151114,318,800,8,7,86,5.8
3925,20151115,319,800,11.4,10.9,94,10.5
3925,20151116,320,800,12,10.3,79,8.5
3925,20151117,321,800,11.3,10.7,93,10.2
3925,20151118,322,800,11.4,8.7,67,5.5
3925,20151119,323,800,12,10.3,79,8.5
3925,20151120,324,800,12.7,12.2,94,11.8
3925,20151121,325,800,10.4,9.9,94,9.5
3925,20151122,326,800,10,9.8,97,9.6
3925,20151123,327,800,10.2,9.1,86,8
3925,20151124,328,800,13.5,12.6,90,11.9
3925,20151125,329,800,15.9,14.5,85,13.4
3925,20151126,330,800,15.3,13.3,79,11.7
3925,20151127,331,800,16.1,14.8,86,13.8
3925,20151128,332,800,10.8,10.1,91,9.4
3925,20151129,333,800,12.4,11.5,89,10.6
3925,20151130,334,800,12,10.7,84,9.4
3925,20151201,335,800,14.6,13.3,86,12.3
3925,20151202,336,800,17,16.2,92,15.7
3925,20151203,337,800,17.2,15.9,87,15
3925,20151204,338,800,13.2,11.8,84,10.6
3925,20151205,339,800,11,10.4,92,9.8
3925,20151206,340,800,11.5,10.5,88,9.6
3925,20151207,341,800,10.2,8.5,78,6.5
3925,20151208,342,800,9.1,8.4,90,7.6
3925,20151209,343,800,13.7,11.4,74,9.2
3925,20151210,344,800,12.6,10.8,79,9.1
3925,20151211,345,800,14.9,13.5,85,12.4
3925,20151212,346,800,13.7,13.4,96,13.1
3925,20151213,347,800,8.7,8.1,91,7.3
3925,20151214,348,800,8.5,8,93,7.4
3925,20151215,349,800,12.2,11.2,88,10.3
3925,20151216,350,800,11,9.3,79,7.5
3925,20151217,351,800,8.6,8,92,7.4
3925,20151218,352,800,10,8,74,5.6
3925,20151219,353,800,14.5,12,73,9.7
3925,20151220,354,800,13.5,12.5,88,11.6
3925,20151221,355,800,17.8,15.6,78,13.9
3925,20151222,356,800,15.6,14.9,92,14.3
3925,20151223,357,800,10.8,9.5,84,8.2
3925,20151224,358,800,13.6,11.7,78,9.9
3925,20151225,359,800,13.5,11.5,77,9.6
3925,20151226,360,800,14.3,13.1,86,12
3925,20151227,361,800,16.5,14.2,76,12.3
3925,20151228,362,800,15.5,13.2,76,11.3
3925,20151229,363,800,16.2,12.8,65,9.6
3925,20151230,364,800,14.7,12.8,79,11.1
3925,20151231,365,800,17.4,12.6,54,8
